pH,Turbidity,TDS,DO,Temperature,EC,Chlorine,Nitrate,Quality
5.24,7.51,884.29,2.86,19.53,1721.29,1.32,7.41,Unsafe
7.92,1.0,1062.94,2.08,17.81,1211.02,1.65,5.44,Unsafe
6.32,9.41,439.76,8.86,34.84,1606.81,1.54,10.55,Unsafe
7.61,1.65,263.5,8.89,22.04,561.47,0.31,9.46,Safe
6.12,4.63,1454.22,5.86,18.98,625.33,0.27,4.56,Unsafe
7.28,9.83,314.48,5.09,31.77,1961.57,1.18,10.06,Unsafe
8.09,9.88,571.99,8.71,16.59,1860.7,0.76,9.22,Unsafe
8.71,7.78,1319.55,5.29,17.6,1108.69,1.94,9.49,Unsafe
6.04,8.41,932.07,5.31,31.27,287.08,0.64,8.56,Unsafe
6.34,9.67,401.4,2.86,24.51,275.34,0.88,8.58,Unsafe
6.86,9.28,771.69,4.56,20.43,868.41,0.59,0.71,Unsafe
8.71,6.26,1277.22,6.54,23.68,837.58,1.83,14.13,Unsafe
8.61,7.37,1484.93,7.11,34.51,1838.67,1.47,13.62,Unsafe
5.36,5.98,1000.34,8.97,19.16,1002.36,0.48,10.01,Unsafe
5.53,5.11,454.98,7.53,16.92,178.61,0.74,7.35,Unsafe
6.98,8.82,1237.53,6.77,33.54,1050.02,0.31,14.41,Unsafe
5.43,7.41,1232.22,3.27,19.59,1866.6,0.32,7.24,Unsafe
6.38,8.61,1344.88,4.52,33.66,812.34,0.19,4.99,Unsafe
5.59,1.05,290.76,7.08,22.06,1555.32,0.42,4.13,Unsafe
7.54,5.81,611.14,5.33,15.45,884.17,1.77,4.17,Unsafe
8.8,3.36,426.99,7.34,24.6,1016.29,0.55,7.18,Unsafe
8.99,5.18,402.78,6.63,19.02,699.33,1.44,13.42,Unsafe
6.5,6.17,611.5,5.26,24.19,301.28,0.94,3.55,Unsafe
7.4,8.47,166.55,4.35,26.06,1213.13,0.5,3.57,Unsafe
8.43,0.42,1287.22,3.12,27.26,184.1,1.04,7.38,Unsafe
5.47,1.72,1292.54,5.09,33.85,1852.49,1.91,14.68,Unsafe
7.76,9.22,1420.69,6.72,31.57,1676.48,1.45,7.93,Unsafe
6.64,9.68,198.42,2.51,15.18,625.17,0.85,8.48,Unsafe
5.82,0.65,899.85,4.22,32.81,931.24,1.84,12.49,Unsafe
6.61,3.38,109.05,2.94,19.15,546.0,0.25,11.22,Unsafe
5.3,0.2,925.66,4.04,19.97,1946.1,1.76,2.12,Unsafe
7.78,7.6,236.45,7.65,31.31,994.19,0.49,7.51,Unsafe
6.01,6.85,640.71,4.77,25.26,161.01,0.61,1.73,Unsafe
6.25,5.69,553.37,8.1,23.22,1366.18,1.55,12.53,Unsafe
5.48,6.95,563.18,7.12,15.01,824.58,0.41,2.25,Unsafe
8.46,5.42,368.51,4.57,21.21,692.94,1.86,9.58,Unsafe
6.97,2.46,246.54,3.13,27.34,1392.64,1.11,12.97,Unsafe
7.29,7.57,122.71,2.01,16.84,1716.34,1.59,14.42,Unsafe
7.28,7.85,1151.33,4.97,26.05,102.03,0.61,13.51,Unsafe
6.64,8.56,1382.58,5.53,15.25,1648.88,0.44,5.65,Unsafe
5.77,9.55,1352.69,5.14,28.24,1376.38,0.39,5.84,Unsafe
7.98,7.5,986.68,4.57,16.12,145.31,1.79,12.57,Unsafe
5.51,0.64,269.6,7.09,16.33,1516.55,1.54,0.73,Unsafe
5.42,0.31,895.09,2.66,29.43,790.63,1.04,2.88,Unsafe
7.84,7.42,237.32,2.76,29.57,621.9,1.45,4.81,Unsafe
5.84,0.65,817.96,5.83,19.04,1508.38,1.58,3.91,Unsafe
6.23,3.23,1300.67,2.21,16.88,1971.63,0.19,12.06,Unsafe
6.9,1.45,378.86,4.78,30.68,195.43,0.47,12.18,Unsafe
6.8,9.69,1406.23,3.37,30.44,526.46,1.22,0.42,Unsafe
7.83,3.23,640.68,3.48,19.0,964.88,0.57,7.47,Unsafe
7.49,0.65,405.43,5.39,20.87,1605.69,1.69,14.92,Unsafe
7.58,9.5,802.17,5.76,19.37,829.38,1.87,1.93,Unsafe
7.86,6.13,1316.97,4.89,25.96,455.1,1.16,6.14,Unsafe
6.17,0.46,478.79,2.94,27.91,1533.98,1.91,5.19,Unsafe
6.29,8.35,341.25,5.29,33.88,1042.96,0.74,8.94,Unsafe
6.75,1.61,995.43,7.6,19.08,1775.24,0.12,5.89,Unsafe
6.23,8.04,1069.13,6.74,25.56,450.64,1.55,5.1,Unsafe
8.94,6.07,200.84,5.63,17.28,1571.84,0.71,14.8,Unsafe
8.26,1.85,453.95,2.99,24.5,867.64,0.39,3.31,Unsafe
5.66,7.55,267.17,6.25,30.79,746.18,1.06,5.03,Unsafe
5.02,4.6,1094.95,5.53,21.21,1198.37,1.36,5.69,Unsafe
5.17,6.42,840.05,7.78,26.83,766.65,0.51,13.83,Unsafe
5.98,8.71,1353.24,3.07,28.44,1172.39,0.67,4.67,Unsafe
5.46,2.68,1047.4,4.72,18.48,1546.04,1.72,6.97,Unsafe
7.13,3.72,482.13,2.71,15.79,1689.94,1.91,13.3,Unsafe
8.43,9.97,573.51,5.67,18.52,828.11,0.97,11.54,Unsafe
7.95,5.13,687.28,8.32,26.09,222.56,0.1,7.29,Unsafe
5.86,5.63,237.67,8.61,26.69,1262.27,1.37,0.67,Unsafe
6.6,2.93,1389.86,2.21,28.24,253.59,1.58,7.18,Unsafe
7.03,4.22,1078.5,4.58,25.68,1316.44,0.88,6.5,Unsafe
8.24,5.07,1115.3,4.28,24.14,776.43,1.04,3.25,Unsafe
8.36,2.66,1023.48,6.43,32.47,1136.66,1.0,11.31,Unsafe
8.64,2.46,720.39,6.96,19.67,1894.25,1.42,7.17,Unsafe
7.04,6.04,631.21,3.32,25.05,1695.69,1.32,5.18,Unsafe
7.78,1.92,869.83,3.29,26.37,1920.71,0.55,0.5,Unsafe
5.45,5.58,1132.74,3.99,17.4,1091.88,1.05,8.69,Unsafe
7.26,7.09,598.51,2.18,32.92,1431.58,1.24,5.27,Unsafe
5.99,2.06,790.34,6.01,28.14,1905.47,0.35,3.94,Unsafe
6.73,7.48,1013.41,6.88,15.87,963.49,0.59,6.76,Unsafe
7.54,3.66,487.54,2.03,16.3,888.06,1.66,13.45,Unsafe
6.03,9.93,1266.5,5.03,31.6,1938.99,0.15,7.58,Unsafe
5.21,9.79,398.86,5.2,19.52,216.1,0.37,4.56,Unsafe
5.04,8.01,1307.6,6.27,30.46,646.74,0.58,5.93,Unsafe
5.09,3.49,106.63,7.27,26.59,1394.22,1.67,2.48,Unsafe
5.03,9.38,1001.18,8.07,32.25,1082.16,0.53,7.86,Unsafe
5.44,9.99,763.07,3.1,27.15,1473.1,0.43,1.99,Unsafe
5.96,4.68,445.96,4.77,27.72,767.51,0.98,14.65,Unsafe
5.88,6.18,1428.16,6.19,31.8,1460.47,1.06,7.94,Unsafe
8.95,0.16,398.51,5.43,25.97,175.56,0.45,9.21,Unsafe
6.22,0.53,788.13,6.65,22.34,304.5,0.86,13.3,Unsafe
5.51,5.06,882.17,5.97,31.25,994.99,0.33,8.29,Unsafe
7.18,6.13,1437.29,4.29,22.47,562.44,0.34,13.11,Unsafe
8.43,3.19,992.85,8.43,30.3,1484.41,1.27,8.96,Unsafe
7.71,1.08,201.3,7.76,26.46,564.04,1.59,6.54,Unsafe
6.18,7.84,682.85,7.1,27.19,1409.95,1.36,14.55,Unsafe
7.25,4.25,1311.65,4.71,22.78,1981.67,0.74,11.03,Unsafe
7.86,6.52,1165.32,2.36,27.71,680.89,1.7,11.71,Unsafe
7.91,6.54,171.64,8.82,21.9,1949.49,1.98,3.3,Unsafe
7.67,5.51,916.74,6.74,26.64,1220.85,1.58,1.37,Unsafe
8.48,1.87,261.15,4.01,17.29,1137.7,0.64,8.39,Unsafe
8.48,6.2,237.8,5.18,34.0,950.4,0.83,2.23,Unsafe
7.32,3.29,1447.02,3.74,16.15,1532.42,0.92,8.53,Unsafe
6.72,8.21,1079.43,7.19,15.29,1370.91,1.25,0.26,Unsafe
7.57,2.01,252.44,6.51,27.06,1608.69,1.15,3.92,Unsafe
8.27,2.98,573.56,5.64,27.15,591.79,0.36,5.3,Safe
5.02,4.46,1051.18,4.63,33.52,1111.9,1.71,4.02,Unsafe
8.97,7.43,1367.73,4.15,15.64,1775.78,0.63,10.35,Unsafe
5.73,7.24,193.61,7.69,23.27,942.5,1.23,0.83,Unsafe
6.88,3.44,216.52,4.75,23.24,1181.83,0.6,12.45,Unsafe
8.49,5.16,256.37,5.34,20.5,490.58,0.88,4.59,Unsafe
5.9,2.42,862.5,3.22,31.71,1408.33,1.29,0.12,Unsafe
6.91,7.73,749.67,8.06,30.29,524.33,1.27,9.62,Unsafe
5.53,2.05,330.07,3.72,31.91,1179.58,1.45,7.77,Unsafe
6.58,8.21,850.11,3.19,25.96,275.19,1.35,12.21,Unsafe
5.71,9.37,579.36,6.37,26.59,1226.24,0.56,11.62,Unsafe
6.45,9.92,334.73,2.94,28.33,1581.11,1.7,8.79,Unsafe
6.49,8.58,146.32,8.85,30.34,818.76,1.93,13.51,Unsafe
8.97,2.29,239.08,5.92,22.33,1507.62,1.76,0.87,Unsafe
8.98,4.22,642.34,2.32,30.86,726.3,1.64,4.19,Unsafe
5.46,0.98,819.71,2.98,15.91,1359.69,0.13,8.78,Unsafe
7.9,1.73,413.96,8.53,23.88,1376.88,1.02,13.9,Unsafe
5.21,0.59,1192.59,5.84,16.27,1372.6,0.27,11.81,Unsafe
5.12,6.45,898.02,4.48,15.02,1429.78,0.3,8.58,Unsafe
5.42,5.38,1176.55,6.87,25.47,282.15,0.11,11.89,Unsafe
8.86,9.18,656.87,4.61,15.2,1440.38,1.48,9.38,Unsafe
8.76,4.68,1346.9,3.0,32.38,1951.9,0.35,7.98,Unsafe
5.78,6.46,1220.54,7.21,15.06,1030.76,1.73,4.12,Unsafe
5.65,4.08,874.51,4.55,26.51,624.85,1.46,13.46,Unsafe
5.96,8.31,1056.03,8.87,23.88,948.15,0.29,15.0,Unsafe
7.06,9.27,306.51,3.87,21.42,1762.68,0.37,13.11,Unsafe
7.28,4.37,1181.17,2.55,26.98,1308.13,1.8,13.82,Unsafe
5.89,0.92,949.94,6.07,17.64,1677.54,1.12,10.47,Unsafe
8.03,1.72,378.95,2.7,19.74,298.64,0.64,14.56,Unsafe
6.24,7.23,481.96,7.57,31.34,1034.69,1.91,9.58,Unsafe
8.69,3.32,1382.84,4.59,29.22,334.89,1.61,13.84,Unsafe
7.63,7.88,372.84,8.82,17.79,1366.49,1.49,7.2,Unsafe
6.75,7.52,709.74,8.3,26.46,915.73,0.96,10.31,Unsafe
8.16,6.97,1276.88,5.61,28.49,708.14,0.81,4.23,Unsafe
8.27,8.16,540.33,4.48,33.42,878.45,0.47,7.31,Unsafe
6.16,7.59,328.89,8.93,24.71,1455.8,0.54,14.99,Unsafe
6.36,6.36,791.29,4.5,28.54,329.3,1.58,14.41,Unsafe
8.74,0.14,367.02,2.81,22.09,1785.24,0.18,7.86,Unsafe
5.66,5.21,1477.18,7.16,27.37,1521.1,1.45,11.47,Unsafe
5.17,5.99,1012.53,7.8,20.94,960.38,1.56,14.27,Unsafe
6.82,9.61,807.93,4.27,24.53,1465.2,1.03,4.05,Unsafe
8.2,6.54,714.02,3.94,27.34,1130.37,0.47,4.69,Unsafe
8.09,5.8,964.16,5.0,32.76,1748.57,1.18,6.87,Unsafe
8.68,5.46,600.49,3.39,30.56,806.59,0.1,4.21,Unsafe
7.13,1.12,403.7,8.25,32.27,1831.99,1.12,2.88,Unsafe
5.4,4.33,462.26,7.97,25.16,691.5,1.74,2.64,Unsafe
7.35,1.43,251.98,6.94,25.8,908.66,0.27,2.47,Safe
8.11,0.62,1353.92,7.78,21.52,1598.28,0.51,2.11,Unsafe
5.37,3.36,1428.53,3.76,24.56,1358.23,1.84,12.49,Unsafe
5.69,6.49,440.78,5.35,28.04,680.13,1.82,13.35,Unsafe
5.05,8.68,1469.32,4.56,23.79,819.18,1.12,7.6,Unsafe
7.37,8.12,871.59,7.77,25.74,186.76,1.05,4.0,Unsafe
8.55,3.02,437.33,3.04,29.66,132.31,0.3,0.83,Unsafe
7.68,0.56,807.91,3.33,25.29,1008.18,0.58,0.89,Unsafe
8.93,4.09,207.73,6.31,24.09,1175.35,1.15,5.87,Unsafe
5.25,3.22,296.78,4.7,34.7,871.22,1.88,14.43,Unsafe
8.61,3.78,411.82,3.04,16.52,1482.85,1.15,3.19,Unsafe
8.26,5.64,1378.3,2.76,32.43,256.03,0.51,14.77,Unsafe
6.26,0.4,1428.82,5.31,19.04,669.52,1.94,0.28,Unsafe
8.89,3.77,672.87,7.17,26.22,1720.86,1.57,13.9,Unsafe
6.15,5.63,438.8,2.37,26.6,1889.12,1.67,8.49,Unsafe
8.56,4.37,553.36,7.19,24.81,402.04,1.73,10.12,Unsafe
8.52,6.71,565.03,6.3,19.91,1008.49,1.52,3.6,Unsafe
8.03,1.94,874.12,4.31,33.4,498.23,1.0,3.66,Unsafe
7.25,1.62,337.27,2.21,15.09,679.35,0.39,12.92,Unsafe
5.48,3.15,908.05,8.79,34.5,930.44,1.51,13.78,Unsafe
7.13,1.11,618.43,4.63,18.88,706.96,1.09,2.2,Unsafe
6.43,2.44,975.0,8.54,29.27,1299.37,0.44,3.78,Unsafe
8.17,0.96,891.81,5.67,21.66,1596.05,1.5,2.41,Unsafe
8.03,4.08,743.51,5.98,22.51,404.72,0.81,2.8,Safe
8.64,7.14,266.84,4.31,21.7,233.96,0.23,0.55,Unsafe
5.06,2.94,320.25,4.84,22.43,1548.11,1.04,1.24,Unsafe
8.24,0.14,584.97,6.62,27.54,519.28,0.83,11.98,Unsafe
8.75,5.61,1136.47,5.27,30.68,166.41,1.47,12.07,Unsafe
8.16,6.95,568.85,4.77,17.67,934.88,0.14,4.75,Unsafe
5.52,3.97,491.54,2.2,31.72,827.68,0.43,7.65,Unsafe
5.33,3.04,1211.46,4.58,34.72,1321.92,1.31,1.13,Unsafe
5.08,4.96,1321.27,3.34,29.03,595.37,1.69,12.88,Unsafe
7.51,1.1,1113.9,8.52,23.14,1571.52,0.79,6.54,Unsafe
7.52,6.47,727.02,3.8,22.82,1450.12,0.57,5.34,Unsafe
8.95,7.36,397.37,2.43,33.27,966.76,0.77,3.22,Unsafe
6.59,7.08,1492.79,3.17,31.83,175.54,1.32,14.19,Unsafe
6.33,3.35,573.33,2.89,34.84,699.94,1.37,12.72,Unsafe
7.5,8.44,705.74,3.25,29.82,1645.41,1.71,11.84,Unsafe
8.3,9.47,830.99,3.69,21.6,838.79,0.76,7.66,Unsafe
8.75,3.04,890.43,8.67,32.06,1536.74,1.94,1.26,Unsafe
8.21,2.7,128.46,7.36,21.76,1415.78,1.75,1.76,Unsafe
6.71,7.07,1356.15,3.58,17.05,1338.34,0.76,9.16,Unsafe
7.54,7.11,1332.48,6.74,31.34,1445.27,1.17,11.81,Unsafe
8.43,5.15,274.58,6.52,27.24,1535.88,1.41,8.5,Unsafe
6.96,9.24,1288.64,4.29,27.95,1270.47,1.52,9.42,Unsafe
5.87,1.55,319.67,4.59,21.37,1661.6,1.21,11.42,Unsafe
5.68,4.83,439.93,8.31,15.33,1678.88,0.4,4.16,Unsafe
5.0,0.45,826.79,5.37,26.31,1949.61,1.62,2.66,Unsafe
7.87,0.62,1467.52,8.6,30.26,755.69,0.57,12.75,Unsafe
5.44,0.63,774.12,3.28,32.78,587.99,1.74,9.44,Unsafe
5.98,4.97,639.1,2.26,33.7,743.08,1.29,11.45,Unsafe
6.19,5.93,825.88,5.44,31.0,293.95,1.67,7.97,Unsafe
7.24,0.13,426.16,6.13,23.71,1530.6,1.66,7.71,Unsafe
6.59,6.36,1404.63,5.64,21.28,750.0,1.92,11.54,Unsafe
7.7,4.95,1409.31,6.56,21.31,900.33,1.11,13.64,Unsafe
5.22,2.32,1046.63,4.48,25.6,716.33,0.98,14.06,Unsafe
5.5,0.25,316.63,2.94,21.15,799.32,1.61,2.74,Unsafe
7.0,1.65,779.85,3.96,25.78,814.95,0.26,12.86,Unsafe
6.35,6.04,634.93,2.51,29.89,405.87,1.38,7.57,Unsafe
6.18,6.62,1494.19,2.49,16.35,1185.6,1.5,2.63,Unsafe
5.27,6.51,172.95,4.63,24.8,1750.68,1.96,8.5,Unsafe
8.58,1.62,461.6,8.28,28.15,1135.01,0.61,14.61,Unsafe
7.77,9.12,788.38,5.46,33.14,1849.35,0.26,8.16,Unsafe
5.49,4.17,1255.13,3.19,30.76,816.23,1.9,0.34,Unsafe
5.26,7.7,1120.68,4.53,27.46,212.53,1.76,9.4,Unsafe
8.9,1.75,1438.63,8.84,30.0,444.2,0.43,8.97,Unsafe
7.72,4.76,394.8,2.22,22.61,102.08,0.65,5.27,Unsafe
6.67,5.26,244.17,6.21,16.8,626.62,0.73,4.06,Unsafe
7.81,7.73,925.93,6.27,28.12,1583.86,0.28,7.5,Unsafe
8.03,6.25,705.61,8.17,26.41,1742.29,1.56,13.06,Unsafe
8.12,4.05,564.52,4.91,31.73,255.37,1.25,5.91,Unsafe
6.91,2.9,1185.45,4.95,18.61,1793.24,1.96,14.92,Unsafe
6.72,9.73,868.39,8.78,34.33,913.99,1.0,14.12,Unsafe
5.04,2.92,550.31,2.17,32.35,1401.01,0.89,5.28,Unsafe
8.71,1.38,852.91,6.25,31.35,1316.47,0.66,11.85,Unsafe
7.41,3.07,1405.61,6.91,23.92,886.78,0.52,10.9,Unsafe
5.81,3.34,466.72,2.64,21.59,624.6,1.36,13.79,Unsafe
8.68,1.37,732.78,7.0,31.97,261.72,0.98,8.89,Unsafe
8.66,7.11,502.9,6.62,22.86,1537.34,0.79,1.3,Unsafe
8.96,6.23,905.68,2.11,25.59,1056.33,0.3,0.56,Unsafe
8.5,3.23,1362.72,7.95,21.39,651.82,0.17,11.97,Unsafe
8.99,9.93,1013.56,6.46,27.37,1010.45,0.56,5.66,Unsafe
5.98,6.58,372.19,8.49,27.83,1944.76,0.7,7.81,Unsafe
8.37,7.06,280.84,6.39,15.42,1550.1,0.89,11.67,Unsafe
8.29,5.62,149.15,4.97,17.85,126.54,1.66,10.67,Unsafe
5.92,5.56,1276.92,6.31,28.0,702.04,1.49,4.31,Unsafe
5.39,0.3,760.23,8.04,31.85,1636.81,1.61,11.86,Unsafe
8.92,7.73,691.84,4.95,32.1,949.44,1.04,12.73,Unsafe
6.18,9.12,469.75,4.96,20.53,1771.99,1.26,11.68,Unsafe
8.48,1.31,702.13,2.72,31.24,794.28,1.23,14.71,Unsafe
5.02,7.98,593.38,5.94,20.8,775.53,0.69,1.28,Unsafe
5.08,5.39,1141.23,5.11,26.98,1370.94,1.61,0.33,Unsafe
6.86,2.92,1089.71,4.65,20.49,346.45,0.46,0.94,Unsafe
5.95,9.22,724.43,2.27,30.21,1731.75,1.87,1.58,Unsafe
7.76,0.27,1015.27,6.23,34.04,764.85,0.67,10.65,Unsafe
7.26,2.81,925.07,2.39,34.21,250.97,1.06,11.09,Unsafe
5.31,8.87,997.45,2.62,17.09,1829.34,1.97,12.17,Unsafe
5.65,4.86,1163.11,2.37,33.46,743.36,0.32,10.74,Unsafe
6.55,6.03,228.72,3.99,28.52,362.91,0.69,6.33,Unsafe
5.74,7.52,1264.62,5.62,20.79,654.13,1.85,12.64,Unsafe
8.17,1.56,495.76,6.17,26.47,1563.17,0.68,5.75,Unsafe
6.66,2.23,634.29,4.42,18.86,118.23,1.67,1.15,Unsafe
5.37,9.99,487.17,6.87,34.08,466.38,1.22,8.05,Unsafe
6.94,2.45,1257.55,7.47,29.37,927.94,0.76,13.33,Unsafe
5.36,5.44,1317.68,6.22,33.45,1457.45,1.61,7.25,Unsafe
5.52,3.06,296.66,4.39,16.25,573.63,0.59,12.24,Unsafe
5.96,8.53,830.81,2.32,32.0,1765.05,1.35,9.6,Unsafe
8.44,9.62,634.5,8.56,25.1,797.32,1.28,2.62,Unsafe
8.7,1.5,354.8,8.85,18.23,1761.67,1.5,9.43,Unsafe
8.31,6.05,879.28,2.68,15.91,735.44,0.41,8.73,Unsafe
6.34,8.13,611.84,4.93,25.01,1788.93,1.46,4.97,Unsafe
6.09,8.25,1101.82,3.54,34.99,1852.75,1.6,0.6,Unsafe
7.2,4.46,1270.75,5.82,28.11,1722.95,1.42,3.7,Unsafe
7.89,2.33,118.94,5.41,18.26,113.09,1.88,4.05,Unsafe
8.97,3.93,866.77,3.5,15.52,866.63,1.1,11.58,Unsafe
5.53,7.54,913.2,8.36,24.19,1732.14,1.66,4.15,Unsafe
5.2,9.94,545.34,8.25,29.6,1504.67,0.35,13.42,Unsafe
7.78,5.59,1223.88,6.87,21.61,1972.01,0.74,7.8,Unsafe
8.33,2.03,1373.4,7.04,16.42,1180.51,1.22,13.01,Unsafe
8.39,0.52,1169.9,4.44,22.54,1401.27,1.01,14.6,Unsafe
7.71,9.44,838.34,4.71,24.32,1212.86,1.08,12.5,Unsafe
8.82,4.88,115.68,5.42,26.25,1976.27,1.87,14.72,Unsafe
7.04,7.19,690.63,6.48,23.59,1990.77,1.49,6.76,Unsafe
8.66,6.64,1071.27,5.04,17.18,1126.08,1.87,11.8,Unsafe
8.87,8.92,323.17,3.9,17.2,1605.32,0.98,10.9,Unsafe
8.39,2.73,1186.13,8.08,23.81,119.6,1.22,8.85,Unsafe
6.24,4.47,958.94,3.96,16.37,957.91,0.49,14.85,Unsafe
5.78,9.14,564.28,6.37,21.87,1032.82,0.46,10.31,Unsafe
7.19,5.9,1287.93,6.98,19.44,1338.01,0.65,4.82,Unsafe
6.81,0.81,1000.36,6.36,17.03,1754.25,1.97,10.27,Unsafe
8.51,2.03,524.85,7.27,21.24,988.48,0.48,9.87,Unsafe
5.4,2.45,376.21,3.41,31.69,1938.05,0.84,3.91,Unsafe
6.03,9.94,319.7,4.75,30.08,918.21,1.01,11.23,Unsafe
8.01,2.32,1481.4,5.91,21.49,634.87,1.76,4.78,Unsafe
5.38,8.71,1316.53,8.1,18.1,752.05,0.31,7.06,Unsafe
6.28,0.87,1063.41,8.78,20.92,1372.78,1.75,1.83,Unsafe
6.55,1.9,758.81,8.02,29.34,187.25,1.2,2.2,Safe
7.49,8.73,1287.38,2.87,22.03,469.21,1.47,11.02,Unsafe
5.63,9.0,1084.48,2.2,25.35,964.35,1.05,8.34,Unsafe
8.44,1.84,880.14,3.98,34.27,1154.76,0.16,1.35,Unsafe
6.79,2.38,1191.83,4.85,25.72,1207.87,1.63,10.79,Unsafe
8.67,5.35,266.93,2.87,21.63,1863.11,1.06,2.3,Unsafe
6.87,0.62,1324.17,6.76,15.02,155.65,1.1,14.8,Unsafe
6.1,9.46,279.0,8.3,24.08,116.25,1.31,13.09,Unsafe
5.57,3.68,1366.04,4.8,29.16,1322.71,0.93,13.56,Unsafe
5.01,4.94,407.76,8.92,22.0,1956.69,1.18,12.26,Unsafe
7.13,1.14,643.62,4.04,23.89,1789.73,1.53,14.68,Unsafe
5.43,0.42,1164.21,4.83,30.5,851.84,0.35,5.52,Unsafe
6.57,4.73,259.11,2.39,32.56,1577.01,1.31,7.44,Unsafe
7.36,1.3,1464.61,6.98,31.7,1857.0,0.94,7.6,Unsafe
6.1,6.34,1148.76,2.09,23.58,1350.38,1.66,12.32,Unsafe
5.7,7.97,464.72,5.01,20.99,411.65,1.47,12.63,Unsafe
8.1,0.41,1342.65,3.58,26.27,1507.27,0.46,8.96,Unsafe
8.79,6.16,158.03,6.41,23.08,334.52,0.94,13.5,Unsafe
5.4,8.17,115.23,3.5,17.53,1678.35,0.25,8.86,Unsafe
5.62,4.45,553.15,5.91,25.13,509.77,0.4,9.6,Unsafe
8.84,9.6,242.15,2.58,22.14,889.9,1.13,12.74,Unsafe
5.15,1.2,1247.89,2.55,19.64,398.58,0.22,3.76,Unsafe
8.91,3.3,638.32,8.2,19.06,1231.19,0.14,11.74,Unsafe
5.02,2.38,967.44,7.49,30.03,1042.25,1.71,14.32,Unsafe
8.49,9.96,1252.06,8.77,25.89,836.7,0.33,10.43,Unsafe
6.23,3.01,314.19,3.59,31.47,1925.1,1.25,4.02,Unsafe
8.75,3.94,1463.15,4.05,34.93,398.07,1.0,12.14,Unsafe
6.27,8.49,1012.16,8.99,33.78,1547.05,1.76,12.94,Unsafe
7.62,9.31,191.58,6.76,19.72,1271.69,1.27,5.63,Unsafe
5.32,9.38,856.42,4.11,31.79,1635.9,0.5,11.07,Unsafe
5.97,5.63,1319.21,3.8,26.35,1276.93,0.89,2.16,Unsafe
8.09,6.67,1357.08,7.89,28.31,1822.99,0.68,13.86,Unsafe
7.11,3.56,1146.98,4.8,30.49,594.1,1.18,14.14,Unsafe
8.71,6.11,1461.12,2.29,17.37,1920.78,1.98,13.98,Unsafe
6.72,3.1,798.63,4.54,23.98,469.91,0.87,14.83,Unsafe
8.48,7.49,664.28,3.24,21.16,1973.24,0.21,1.71,Unsafe
6.8,3.14,409.23,2.66,32.4,1501.91,1.09,11.54,Unsafe
8.92,8.81,740.54,8.2,22.19,1761.36,1.33,2.53,Unsafe
8.84,1.52,1300.28,6.86,34.5,1448.52,0.56,10.65,Unsafe
6.32,5.76,176.22,6.7,19.06,983.95,1.17,0.62,Unsafe
8.54,5.25,413.63,6.2,26.05,212.31,0.77,9.07,Unsafe
8.39,2.71,1460.24,7.03,27.92,175.98,0.46,9.12,Unsafe
5.84,0.38,1206.56,8.63,28.39,1960.51,0.31,11.44,Unsafe
7.5,1.57,489.8,2.47,20.26,1563.65,0.45,10.18,Unsafe
5.29,9.68,1273.67,2.25,24.33,1842.48,1.62,5.41,Unsafe
8.35,9.42,302.04,5.93,15.13,721.25,1.76,4.45,Unsafe
5.7,1.28,1033.53,4.84,25.24,256.64,1.54,0.6,Unsafe
5.28,3.81,378.99,2.58,19.91,1781.86,1.86,8.1,Unsafe
6.6,4.7,843.47,8.69,34.39,423.33,0.46,0.69,Unsafe
7.31,4.83,984.69,7.36,16.14,445.15,1.15,9.93,Safe
8.42,3.06,1127.07,5.4,20.35,1907.56,1.77,12.61,Unsafe
8.9,9.14,1369.49,8.69,34.03,352.64,0.14,13.22,Unsafe
6.76,9.09,1210.83,7.39,19.66,1657.59,0.21,10.16,Unsafe
5.24,0.29,517.46,2.54,19.8,177.08,0.2,13.16,Unsafe
8.0,6.54,1280.3,6.65,24.62,1325.04,0.79,4.26,Unsafe
7.26,0.84,187.82,5.3,25.62,472.66,1.05,8.41,Safe
6.79,6.02,1131.02,6.14,24.87,303.53,1.83,8.15,Unsafe
6.24,8.68,776.61,3.68,26.4,1741.83,0.57,3.13,Unsafe
7.01,6.53,715.48,5.27,32.56,210.39,1.41,9.88,Unsafe
6.35,4.74,1080.71,4.3,29.51,1565.28,1.06,1.51,Unsafe
8.03,9.58,184.89,5.1,22.13,872.12,0.21,0.34,Unsafe
7.18,7.49,1322.16,2.73,25.68,483.18,0.56,14.65,Unsafe
8.51,2.57,462.54,2.9,25.36,1366.78,1.56,10.53,Unsafe
7.17,3.93,1239.9,5.21,19.7,854.31,0.21,2.2,Unsafe
5.95,7.62,551.84,3.7,16.37,1574.1,0.46,2.79,Unsafe
8.4,0.29,1127.63,3.9,31.35,1203.87,1.47,2.46,Unsafe
7.23,0.73,1387.07,6.52,33.61,1285.61,1.95,14.81,Unsafe
5.83,8.61,1067.81,2.09,15.16,117.5,1.3,8.16,Unsafe
7.49,0.53,428.77,5.21,16.25,1513.26,1.18,14.53,Unsafe
6.43,6.82,1079.89,6.01,16.02,146.87,0.11,1.14,Unsafe
8.38,3.26,1080.05,4.43,32.4,852.36,0.38,8.61,Unsafe
6.81,8.28,1394.16,5.72,24.77,1947.98,0.22,4.59,Unsafe
7.91,8.49,458.85,7.8,24.97,1264.92,1.55,6.26,Unsafe
